,cos,l2,cost
wgan,0.2398660033941269,9.502037048339844,1.5880696773529053
wgan-gp,0.9125114679336548,0.2049398124217987,1.8132991790771484
wgan-lp,0.9211620092391968,0.18691836297512054,1.806974172592163
sn-gan,0.2538180947303772,1.3532660007476807,0.4633115530014038
lsot-f,-0.2313900589942932,1.365400791168213,-0.2049551010131836
3p-wgan,0.8310743570327759,0.6409473419189453,1.7571876049041748
sort-out,0.8503561019897461,0.2802290618419647,1.4609041213989258
wgan-qp,0.09097610414028168,1.0476322174072266,0.0018503665924072266
cowgan,0.6938029527664185,2.2444443702697754,2.5364811420440674
3p-wgan_rev,0.9176537990570068,0.15735110640525818,1.842740774154663
dot,0.11573614180088043,1.7721071243286133,4.039949417114258
true,1.0,0.0,1.7375342845916748
